match_id,radiant_win,first_blood_time,dire_score,radiant_score,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,throw,comeback,loss,win
3497210298,True,54,14,28,48,63,1792,1846,910,,17507,
3497321153,True,48,13,31,48,63,1792,1846,3285,,13212,
3497486752,True,327,20,21,3,63,1540,1830,5553,,13423,
3497644587,False,83,24,7,63,60,1974,1824,,113,,
3497783131,True,5,12,32,12,63,1568,1846,0,,15178,
3497871676,False,102,31,11,63,51,1982,1540,,-100,,
3498943075,False,63,26,16,63,3,1968,1540,,218,,
3499021213,False,162,36,26,63,0,1956,1536,,6236,,
3499189988,True,139,6,29,48,63,1920,1975,673,,23619,
3499317276,True,0,11,24,48,63,1792,1983,-351,,22238,
3499441200,True,0,37,40,3,63,516,1796,10764,,6132,
3499706053,True,145,18,40,63,63,1796,1830,2418,,13129,
3499794356,False,0,22,15,63,15,1846,1540,,-136,,
3499877802,False,249,31,12,63,63,2046,1792,,8,,
3500681821,True,286,17,23,48,63,1792,1854,3494,,20305,
3500808603,True,75,18,30,48,63,1792,1830,1890,,19781,
3500940692,True,59,7,19,60,63,1584,2047,758,,16141,
3501029072,True,215,8,24,48,63,1792,1982,163,,19840,
3501171242,True,160,8,24,15,63,1540,1975,0,,19439,
3501298785,True,224,10,24,48,63,1280,1854,0,,23210,
3501476143,True,11,19,34,47,63,1540,1974,1945,,18765,
3501629071,True,103,22,42,50,63,1792,1956,0,,25317,
3503238328,True,103,14,26,48,63,1792,1974,201,,12994,
3503356454,False,108,22,14,63,0,2038,1536,,52,,
3503484791,True,0,17,34,0,63,1536,1974,3803,,27649,
3503666230,True,10,26,35,3,63,1536,1584,2290,,15848,
3503821664,True,52,24,26,3,63,6,1828,6180,,14643,
3504026309,False,216,42,20,55,0,1988,1536,,21,,
3504143591,False,11,47,33,63,0,2046,1536,,0,,
3504247873,False,134,23,25,63,14,1846,1536,,3346,,
3504319604,True,72,13,25,11,63,1542,1983,219,,16142,
3510246936,False,1,27,27,63,12,1824,1536,,10049,,
3510336243,True,22,20,26,50,63,384,1830,4154,,13734,
3510438236,False,58,42,31,63,0,1828,1536,,1691,,
3510553812,True,217,22,45,0,63,1536,1983,100,,26417,
3510754649,False,52,33,17,63,0,2036,1536,,358,,
3510863606,False,227,35,12,63,60,1974,1824,,51,,
3510962398,True,41,14,36,48,63,1984,1590,115,,19073,
3511978899,True,22,13,37,56,63,1792,1975,-100,,23901,
3512070513,True,108,13,27,59,63,1924,1846,2,,14424,
3512155023,True,172,41,45,48,3,384,0,21349,,3027,
3512362213,False,91,22,13,63,50,1974,1792,,808,,
3512486544,True,102,30,43,0,63,0,1828,3098,,31216,
3512659037,False,61,29,11,63,3,1974,1540,,1009,,
3512834415,False,408,32,10,63,63,2047,1828,,0,,
3512927755,True,171,22,42,0,63,1536,1824,943,,6262,
