match_id,isRadiant,player_slot,account_id,personaname,name,rank_tier,actions_per_min,hero_id,kills,deaths,assists,kills_per_min,kda,multi_kills_2,multi_kills_3,multi_kills_4,multi_kills_5,level,total_xp,xp_per_min,total_gold,gold,gold_spent,gold_per_min,last_hits,denies,firstblood_claimed,hero_kills,lane_kills,tower_kills,ancient_kills,neutral_kills,roshan_kills,observer_kills,sentry_kills,courier_kills,necronomicon_kills,camps_stacked,creeps_stacked,tower_damage,hero_damage,hero_healing,pings,rune_pickups,obs_placed,observer_uses,sen_placed,sentry_uses,purchase_tpscroll,stuns,backpack_0,backpack_1,backpack_2,item_0,item_1,item_2,item_3,item_4,item_5,is_roaming,life_state_0,life_state_1,life_state_2,life_state_dead,teamfight_participation
3497210298,True,0,85008179,leesho,Peco,80,259,64,0,3,20,,5,,,,,21,19388,444,10130,2285,9100,232,47,3,0,0,16,1,0,30,30,2,0,0,0,2,5,1384,5334,0,98,1,14,9,25,5,10,22.296143,0,0,0,36,46,30,214,0,31,False,2571,7,78,85,0.71428573
3497210298,True,1,105045291,afk smurf only,Thiolicor,,122,7,2,5,17,0.04580152671755725,3,,,,,20,17772,407,12707,1268,11475,291,81,3,0,2,53,0,0,27,27,1,2,1,0,2,5,0,9903,0,83,22,4,2,9,9,12,46.65166,46,244,0,102,1,36,152,180,40,True,2340,10,306,316,0.6785714
3497210298,True,2,85937380,Marcelo Falcão,4dr,,185,49,5,2,14,0.11450381679389314,6,1,,,,23,23798,545,20785,3163,18210,476,241,11,0,5,180,2,24,65,65,1,0,0,0,0,0,5643,12680,0,134,14,0,0,0,0,11,30.374756,11,0,0,116,36,53,1,63,112,False,2548,2,106,108,0.6785714
3497210298,True,3,86822085,Bullet Tooth Tony,Costabile,80,344,113,15,1,10,0.3435114503816794,12,3,1,1,,25,27291,625,31352,4393,29275,718,385,30,1,15,279,3,14,117,117,2,1,0,0,0,0,5133,36488,0,164,4,0,0,0,0,6,0.0,0,0,0,263,147,174,158,116,48,False,2601,4,51,55,0.89285713
3497210298,True,4,87063175,lelis,Liposa,80,167,13,6,3,12,0.13740458015267176,4,1,,,,24,24933,571,20567,5183,16150,471,198,2,0,6,159,1,0,35,35,0,1,0,0,0,0,1817,14449,0,213,21,0,0,0,0,6,20.251953,0,0,0,48,123,1,30,65,100,False,2547,3,106,109,0.64285713
3497210298,False,128,137193239,哦呼,Paparazi灬,80,168,41,2,2,4,0.04580152671755725,2,,,,,21,19344,443,17554,3272,15185,402,276,27,0,2,185,1,31,111,111,0,0,0,0,0,0,530,11794,0,66,7,0,0,0,0,10,17.43142,0,0,0,63,116,249,172,46,11,False,2552,2,102,104,0.42857143
3497210298,False,129,107803494,Ori,Ori,80,443,36,7,3,1,0.1603053435114504,2,,,,,25,27597,632,25108,364,23310,575,442,9,0,7,327,3,3,108,108,3,4,0,0,0,0,2144,32143,1791,77,9,0,0,0,0,8,9.153028,0,0,0,48,137,119,190,1,116,False,2528,3,125,128,0.5714286
3497210298,False,130,113800818,蚊子,Fenrir,80,128,110,4,4,4,0.0916030534351145,1,,,,,18,14322,328,11964,1716,9415,274,78,2,0,4,60,0,0,17,17,1,1,0,0,2,5,287,8652,2344,86,4,15,15,10,1,9,0.0,118,0,0,65,265,214,36,42,46,False,2510,9,137,146,0.5714286
3497210298,False,131,89423756,蚂蝗,LaNm,,316,88,1,7,7,0.022900763358778626,1,,,,,17,13362,306,10480,281,11035,240,70,5,0,1,46,0,0,28,28,0,0,0,0,2,7,292,10540,0,113,10,2,2,0,0,10,73.65984,38,0,0,1,180,0,46,102,65,True,2375,16,265,281,0.5714286
3497210298,False,132,134276083,任欣然的提款机,eLeVen,,220,114,0,12,4,,0,,,,,19,15458,354,12838,940,9815,294,194,4,0,0,150,0,0,45,45,0,1,0,0,0,0,95,8225,0,214,5,1,1,2,2,15,10.828394,0,0,0,178,252,50,71,46,174,False,2209,38,409,447,0.2857143
3497321153,True,0,87063175,lelis,Liposa,80,173,108,5,3,19,0.1278227524499361,6,,,,,19,16194,414,14473,2982,11665,370,154,2,0,5,114,1,0,39,39,0,0,0,0,3,10,2148,17474,6871,177,8,0,0,0,0,7,82.40321,0,46,11,178,231,30,36,226,244,False,2392,7,94,101,0.7419355
3497321153,True,1,85937380,Marcelo Falcão,4dr,,213,25,11,3,10,0.2812100553898594,5,,,,,23,22413,573,22257,3308,19315,569,291,17,0,11,220,3,25,77,77,1,1,0,0,1,1,7399,27937,638,58,9,0,0,0,0,6,35.775757,0,0,0,263,77,77,121,48,141,False,2438,6,49,55,0.67741936
3497321153,True,2,85008179,leesho,Peco,80,250,87,1,4,19,0.025564550489987216,4,,,,,15,10991,281,8723,1516,7745,223,14,1,0,1,7,0,0,7,7,1,0,0,0,0,0,261,7556,0,113,3,12,7,22,11,11,0.0,0,0,0,36,92,0,188,29,46,False,2353,8,132,140,0.61290324
3497321153,True,3,105045291,afk smurf only,Thiolicor,,136,7,5,3,19,0.1278227524499361,6,1,,,,17,13769,352,10717,2450,8550,274,40,0,1,5,19,0,2,20,20,0,1,0,0,1,3,330,13974,0,99,14,5,3,3,2,9,71.46321,0,0,0,46,1,40,152,180,244,True,2366,6,121,127,0.7741935
3497321153,True,4,86822085,Bullet Tooth Tony,Costabile,80,370,12,9,1,16,0.23008095440988496,12,1,,,,24,25934,663,20418,2641,18685,522,275,10,0,9,209,2,0,64,64,0,0,0,0,0,0,3933,14844,0,147,5,0,0,0,0,2,0.0,0,0,0,174,147,178,212,114,48,False,2443,2,48,50,0.8064516
3497321153,False,128,134276083,任欣然的提款机,eLeVen,,308,69,2,10,3,0.05112910097997443,0,,,,,16,12634,323,14786,312,13740,378,130,2,0,2,81,2,0,45,45,0,0,0,0,0,0,831,13862,0,154,6,1,1,0,0,10,9.912428,0,0,0,50,36,65,9,116,152,False,2051,33,409,442,0.3846154
3497321153,False,129,113800818,蚊子,Fenrir,80,123,111,1,5,8,0.025564550489987216,1,,,,,13,8527,218,6532,325,6385,167,28,1,0,1,22,0,0,3,3,4,0,0,0,0,0,232,3333,6167,59,5,11,7,15,6,11,25.54834,0,0,0,42,244,46,92,36,180,True,2336,12,145,157,0.61538464
3497321153,False,130,107803494,Ori,Ori,80,426,43,4,2,1,0.10225820195994886,1,,,,,19,15646,400,16311,1863,16025,417,260,10,0,4,228,0,4,35,35,1,0,0,0,0,0,1741,19470,0,133,5,0,0,0,0,6,6.288086,46,0,0,50,36,100,119,77,116,False,2389,4,100,104,0.3846154
3497321153,False,131,89423756,蚂蝗,LaNm,,328,88,0,11,8,,0,,,,,14,9818,251,6415,141,5840,164,30,2,0,0,25,0,2,7,7,0,0,0,0,0,0,237,12625,0,52,11,4,4,0,0,8,187.65843,0,0,0,1,180,244,46,265,188,False,2140,27,326,353,0.61538464
3497321153,False,132,137193239,哦呼,Paparazi灬,80,151,114,6,3,3,0.1533873029399233,2,1,,,,23,23509,601,19519,707,17150,499,298,24,0,6,230,0,33,87,87,0,1,0,0,1,3,85,20903,0,71,15,0,0,0,0,6,35.95833,0,181,0,50,116,145,152,24,212,False,2309,11,173,184,0.6923077
3497486752,True,0,105248644,mbappé-,Miracle-,,320,73,3,6,8,0.06769462203836028,1,1,1,,,25,28938,653,40549,7863,33275,915,490,14,0,3,344,2,9,125,125,0,0,0,0,1,3,6935,23193,0,46,19,0,0,0,0,5,16.443298,0,0,0,112,116,137,48,147,235,False,2459,22,325,347,0.52380955
3497486752,True,1,34505203,Comprende,MinD_ContRoL,,213,45,9,1,11,0.20308386611508084,10,1,,,,24,25171,568,20252,4668,17115,457,230,6,0,9,161,5,2,27,27,0,0,0,0,0,0,6695,30976,2550,60,6,0,0,0,0,11,0.0,118,0,0,48,1,36,232,9,108,False,2773,1,32,33,0.95238096
3497486752,True,2,82262664,an naml,KuroKy,,126,66,2,4,8,0.04512974802557352,2,,,,,18,15200,343,11743,1077,10805,265,119,0,0,2,22,0,1,82,82,2,2,0,0,1,3,221,4157,3486,26,5,15,3,8,0,4,1.4116211,46,0,0,42,188,29,229,226,36,True,2632,8,166,174,0.47619048
3497486752,True,3,101356886,gh,Gh,80,148,107,0,4,18,,3,,,,,18,15289,345,10857,3291,7880,245,48,1,0,0,23,0,0,1,1,2,1,0,0,0,0,303,11676,0,61,10,1,1,2,2,11,74.42444,188,46,34,214,92,30,102,30,254,False,2676,7,123,130,0.8095238
3497486752,True,4,72312627,Hangry Beef,MATUMBAMAN,,196,40,7,5,8,0.15795411808950732,2,1,,,,25,27742,626,18169,1360,16120,410,205,5,0,7,134,0,20,42,42,2,1,0,0,2,5,2240,33669,0,30,5,1,1,3,2,10,1.5719726,0,33,0,263,116,46,63,117,190,False,2644,14,148,162,0.71428573
3497486752,False,128,89871557,Aegis curse,Mushi,,307,94,0,3,11,,2,,,,,23,24329,549,23931,1253,20770,540,456,15,0,0,311,2,21,137,137,0,0,0,0,1,2,1419,17689,0,37,5,0,0,0,0,9,54.214012,0,0,0,96,50,147,127,108,212,False,2693,11,102,113,0.55
3497486752,False,129,84772440,冰冻三尺,冰冰冰,,401,61,7,5,4,0.15795411808950732,1,1,,,,25,36251,818,24418,1234,19390,551,394,14,0,7,132,1,117,259,259,0,1,0,0,1,2,2793,21947,0,68,8,0,0,2,2,5,0.0,0,11,0,168,116,55,50,172,196,False,2486,30,290,320,0.55
3497486752,False,130,100471531,Jabz,Jabz,,283,30,2,5,13,0.04512974802557352,2,,,,,16,11921,269,8819,237,8980,199,54,5,0,2,39,0,0,17,17,1,0,0,0,3,7,0,10731,488,87,8,9,4,7,1,15,46.358643,0,0,0,218,36,102,29,46,254,False,2610,18,178,196,0.75
3497486752,False,131,91443418,nb,ninjaboogie,,171,60,3,4,11,0.06769462203836028,2,,,,,18,14447,326,10547,389,10380,238,45,3,0,3,34,0,0,0,0,8,1,0,0,0,0,0,9028,0,67,23,10,11,7,3,5,2.4065917,0,23,0,34,46,92,60,131,50,False,2609,13,184,197,0.7
3497486752,False,132,113457795,ChasingTheMoon,Moonn,80,196,36,8,4,10,0.18051899210229408,3,,,,,25,28628,646,20518,2067,18900,463,309,26,1,8,238,0,0,78,78,0,0,0,0,1,3,950,27637,2902,57,11,0,0,0,0,8,18.135157,46,0,0,102,50,190,108,90,116,False,2632,6,168,174,0.9
3497644587,True,0,100471531,Jabz,Jabz,,269,114,3,7,1,0.14173228346456693,0,,,,,9,4910,232,4931,223,3890,233,33,2,0,3,33,0,0,1,1,1,0,0,0,2,6,0,7059,0,27,5,2,3,0,0,6,13.047438,182,0,0,40,212,181,50,36,46,True,1263,17,136,153,0.5714286
3497644587,True,1,84772440,冰冻三尺,冰冰冰,,404,58,3,4,0,0.14173228346456693,0,1,,,,11,6096,288,6413,124,6820,303,92,12,0,3,88,0,0,9,9,0,0,0,0,1,1,2504,6720,136,24,3,0,1,0,0,5,0.63320315,0,0,0,36,185,46,50,102,181,False,1286,9,121,130,0.42857143
3497644587,True,2,89871557,Aegis curse,Mushi,,314,94,0,3,2,,0,,,,,14,10054,475,9017,906,8575,426,158,10,0,0,132,1,6,26,26,0,0,0,0,0,0,47,5406,0,15,6,0,0,0,0,4,6.0428467,69,122,0,41,50,36,212,170,265,False,1381,12,23,35,0.2857143
3497644587,True,3,91443418,nb,ninjaboogie,,158,60,0,5,4,,0,,,,,7,3153,149,3259,159,3410,154,6,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2885,0,18,9,8,6,5,1,4,1.6024417,0,0,265,34,46,0,244,43,29,True,1317,17,82,99,0.5714286
3497644587,True,4,113457795,ChasingTheMoon,Moonn,80,180,13,1,5,4,0.047244094488188976,0,,,,,12,6752,319,6201,88,7070,293,77,8,0,1,72,0,0,13,13,0,0,0,0,2,6,99,9839,0,24,3,0,0,0,0,7,6.1706543,0,0,0,1,178,181,36,63,0,False,1260,7,149,156,0.71428573
3497644587,False,128,105248644,mbappé-,Miracle-,,369,18,7,1,13,0.3307086614173228,10,1,1,,,16,12170,575,13208,1318,12790,624,153,11,1,7,103,3,32,55,55,0,0,0,0,0,0,3422,12971,0,31,4,0,0,0,0,3,33.881527,0,0,0,63,172,36,1,55,154,False,1385,5,26,31,0.8333333
3497644587,False,129,34505203,Comprende,MinD_ContRoL,,233,16,4,2,10,0.1889763779527559,4,,,,,14,9355,442,8276,325,8690,391,76,7,0,4,68,1,0,12,12,0,0,0,0,2,6,345,7735,0,24,2,0,0,0,0,5,37.999893,0,0,0,180,1,36,125,46,71,False,1350,3,63,66,0.5833333
3497644587,False,130,82262664,an naml,KuroKy,,136,66,3,2,11,0.14173228346456693,4,,,,,11,5947,281,6752,1493,5715,319,58,1,0,3,4,1,0,50,50,0,0,0,0,4,11,1676,3532,2896,14,5,9,0,0,0,3,21.262207,0,0,0,218,0,188,36,180,79,False,1371,4,41,45,0.5833333
3497644587,False,131,101356886,gh,Gh,80,166,91,2,2,14,0.09448818897637795,5,,,,,12,7112,336,6096,2518,4000,288,15,1,0,2,10,0,2,6,6,0,0,0,0,5,19,410,4625,8843,31,8,0,0,0,0,6,0.0,0,0,0,180,92,46,41,36,0,False,1371,2,43,45,0.6666667
3497644587,False,132,72312627,Hangry Beef,MATUMBAMAN,,217,40,6,0,5,0.28346456692913385,11,3,,,,15,10350,489,9398,3915,7450,444,101,8,0,6,100,1,2,7,7,0,0,0,0,0,0,2726,10325,0,23,2,0,0,0,0,4,0.0,0,0,0,46,212,36,63,265,190,False,1416,,,0,0.45833334
3497783131,True,0,105248644,mbappé-,Miracle-,,449,74,9,1,12,0.33353922174181594,10,1,,,,21,20021,742,17242,3299,14915,639,192,17,0,9,163,3,0,40,40,0,0,0,0,1,2,5860,16735,0,20,6,0,0,0,0,3,22.328463,0,0,0,48,65,108,98,36,77,False,1730,7,29,36,0.65625
3497783131,True,1,34505203,Comprende,MinD_ContRoL,,211,29,1,3,16,0.03705991352686844,4,,,,,16,12169,451,9983,1445,9060,370,92,1,0,1,61,1,1,30,30,0,0,0,0,2,4,376,10263,0,52,3,0,0,0,0,6,15.99575,0,0,0,180,1,36,90,46,40,False,1657,6,103,109,0.53125
3497783131,True,2,82262664,an naml,KuroKy,,139,66,2,1,11,0.07411982705373688,6,,,,,12,7285,270,8310,2358,6495,308,66,0,0,2,6,0,0,57,57,0,1,0,0,3,7,1269,2859,2824,50,7,9,4,3,1,4,7.535791,0,0,0,43,0,40,104,180,0,False,1723,1,42,43,0.375
3497783131,True,3,101356886,gh,Gh,80,175,60,7,5,18,0.25941939468807906,4,,,,,15,10199,378,9606,1376,9200,356,29,1,0,7,12,1,0,14,14,1,0,0,0,2,5,359,10801,0,78,13,3,3,0,0,7,3.1019523,0,0,0,50,92,9,102,11,187,True,1615,17,134,151,0.78125
3497783131,True,4,72312627,Hangry Beef,MATUMBAMAN,,226,54,12,2,6,0.44471896232242125,6,2,,,,17,13032,483,14112,714,13745,523,137,7,1,12,118,1,5,21,21,0,0,0,0,1,6,3546,19790,2240,38,4,0,0,0,0,4,0.0,0,0,0,50,71,34,151,168,112,False,1666,6,94,100,0.5625
3497783131,False,128,85008179,leesho,Peco,80,254,5,1,7,6,0.03705991352686844,0,,,,,12,7555,280,7393,1759,5775,274,41,0,0,1,24,0,0,13,13,2,0,0,0,3,9,35,6569,0,37,6,8,6,16,5,12,33.483788,0,0,0,42,0,188,36,31,214,True,1606,8,152,160,0.5833333
3497783131,False,129,105045291,afk smurf only,Thiolicor,,135,88,0,6,11,,1,,,,,12,7312,271,6098,619,5430,226,27,0,0,0,14,0,0,11,11,0,0,0,0,2,10,27,5173,0,44,4,2,2,1,1,8,55.742107,0,0,0,36,1,244,46,180,40,True,1599,15,152,167,0.9166667
3497783131,False,130,85937380,Marcelo Falcão,4dr,,223,106,3,7,5,0.11117974058060531,1,,,,,15,10874,403,10226,1,8385,379,144,1,0,3,111,0,3,31,31,0,1,0,0,1,4,393,11481,0,42,10,0,0,0,0,3,68.1259,11,0,0,100,36,212,71,48,41,False,1555,21,190,211,0.6666667
3497783131,False,131,86822085,Bullet Tooth Tony,Costabile,80,324,114,3,3,6,0.11117974058060531,2,1,,,,15,11279,418,10928,733,9640,405,152,26,0,3,141,1,5,31,31,0,0,0,0,0,0,1252,13610,0,38,3,0,0,0,0,11,31.222467,46,0,0,50,36,212,145,71,21,False,1648,10,108,118,0.75
3497783131,False,132,87063175,lelis,Liposa,80,166,36,5,9,5,0.1852995676343422,1,1,,,,14,9498,352,9444,977,9150,350,99,4,0,5,78,1,0,22,22,0,0,0,0,1,3,571,25033,2568,45,1,0,0,0,0,7,6.2373533,46,0,0,77,100,50,36,102,0,False,1462,15,289,304,0.8333333
3497871676,True,0,85937380,Marcelo Falcão,4dr,,190,40,3,7,6,0.09379885356956748,1,,,,,16,12537,392,11386,571,10475,356,151,9,0,3,132,1,12,24,24,1,0,0,0,1,3,522,12325,0,68,0,0,0,0,0,8,0.0,0,0,0,263,36,46,190,63,212,False,1800,18,248,266,0.8181818
3497871676,True,1,87063175,lelis,Liposa,80,168,29,1,9,6,0.03126628452318916,0,,,,,14,9722,304,8987,913,7895,281,123,5,0,1,112,0,0,15,15,0,0,0,0,0,0,36,7101,0,71,4,0,0,0,0,6,42.88328,0,0,0,41,180,164,102,36,11,False,1733,15,318,333,0.6363636
3497871676,True,2,85008179,leesho,Peco,80,246,68,1,5,8,0.03126628452318916,1,,,,,11,6268,196,5820,70,6050,182,11,1,0,1,9,1,0,0,0,2,0,0,0,1,3,11,8050,0,31,2,3,4,10,9,9,12.222656,0,0,0,38,46,36,73,265,214,True,1910,4,152,156,0.8181818
3497871676,True,3,105045291,afk smurf only,Thiolicor,,126,62,4,5,3,0.12506513809275663,1,,,,,12,6844,214,6716,314,6490,210,10,1,0,4,7,0,0,1,1,1,2,0,0,0,0,0,5975,0,56,8,10,0,9,2,9,1.4026858,0,0,0,46,102,244,92,180,43,False,1963,15,88,103,0.6363636
3497871676,True,4,86822085,Bullet Tooth Tony,Costabile,80,379,80,2,5,2,0.06253256904637831,0,,,,,17,13624,426,12569,46,13600,393,204,5,0,2,138,0,0,67,67,0,0,0,0,1,1,360,6703,0,45,10,1,1,0,0,12,15.987793,0,0,0,172,158,240,63,212,46,False,1927,15,124,139,0.36363637
3497871676,False,128,105248644,mbappé-,Miracle-,,332,48,9,1,11,0.28139656070870245,10,4,,,,24,25138,786,25234,672,25965,789,390,19,0,10,257,5,38,118,118,2,0,0,0,0,0,9033,17794,0,14,6,0,0,0,0,5,9.240138,0,0,0,63,116,147,172,139,160,False,2033,3,30,33,0.6451613
3497871676,False,129,34505203,Comprende,MinD_ContRoL,,230,7,8,1,16,0.25013027618551326,12,,,,,19,15799,494,12281,1700,11420,384,99,9,0,8,81,0,3,21,21,0,0,0,0,0,0,1067,14891,0,61,9,1,1,0,0,7,57.855934,0,46,0,50,1,36,100,152,178,False,2035,1,30,31,0.7741935
3497871676,False,130,82262664,an naml,KuroKy,,123,66,2,4,15,0.06253256904637831,3,,,,,15,10458,327,8859,1147,8760,277,56,2,0,2,7,1,1,45,45,1,0,0,0,3,8,1540,4710,2579,47,8,10,6,7,1,3,4.3576655,46,0,0,0,188,42,36,180,90,False,1966,7,93,100,0.5483871
3497871676,False,131,101356886,gh,Gh,80,157,107,5,3,17,0.1563314226159458,5,,,,,15,11098,347,10778,1484,9805,337,44,2,0,5,40,0,0,4,4,0,0,0,0,1,3,159,11845,0,81,19,1,1,0,0,5,37.068115,188,34,0,214,92,40,108,1,46,False,1955,5,106,111,0.7096774
3497871676,False,132,72312627,Hangry Beef,MATUMBAMAN,,197,70,7,3,9,0.21886399166232412,4,1,,,,18,15128,473,13784,2792,11750,431,130,1,1,7,80,1,27,45,45,0,0,0,0,0,0,1168,11996,0,29,7,1,1,0,0,9,0.0,0,0,0,50,116,36,1,46,172,False,1971,8,87,95,0.516129
3498943075,True,0,117281554,1111,Moogy,,398,63,7,2,4,0.2346368715083799,3,,,,,19,15602,523,14409,59,15500,483,194,8,0,7,154,2,2,38,38,0,0,0,0,0,0,3244,20457,0,8,9,0,0,0,0,4,0.0,0,265,0,174,63,166,168,212,236,False,1833,4,100,104,0.6875
3498943075,True,1,149486894,烈烈风中丶,Sccc,80,237,13,3,2,5,0.1005586592178771,2,1,,,,16,12380,415,11545,187,11660,387,164,13,0,3,154,0,1,19,19,1,1,0,0,1,1,682,11084,0,47,5,0,0,0,0,8,13.443359,0,0,0,1,190,202,29,36,46,False,1879,3,55,58,0.5
3498943075,True,2,82327674,wwwwwwwww,Faith,,157,90,0,8,7,,0,,,,,14,9487,318,9099,1792,6940,305,129,2,0,0,73,0,1,57,57,1,0,0,0,1,3,14,5786,770,32,5,5,4,2,1,9,6.076172,0,0,0,214,108,42,0,0,0,False,1684,30,223,253,0.4375
3498943075,True,3,139876032,最后的战役,kaka,80,220,51,3,7,8,0.1005586592178771,1,,,,,13,7637,256,6414,550,6000,215,26,4,0,3,17,1,0,8,8,0,1,0,0,0,0,42,9113,0,47,12,8,7,3,2,7,20.285948,0,0,0,187,182,92,61,34,214,True,1704,13,220,233,0.6875
3498943075,True,4,87012746,kps,kpii,80,316,114,2,7,3,0.0670391061452514,0,,,,,14,9874,331,8711,804,6705,292,115,10,0,2,70,1,0,51,51,0,0,0,0,0,0,36,6422,0,33,7,0,0,0,0,8,17.157179,0,0,0,36,22,71,252,46,50,False,1677,20,240,260,0.3125
3498943075,False,128,12231202,lost,Limmp,80,381,47,4,0,11,0.1340782122905028,15,,,,,19,16826,564,16796,254,17275,563,238,36,0,4,210,4,14,49,49,0,0,0,0,1,2,7628,14610,0,31,4,1,1,0,0,1,2.0,212,0,46,263,63,147,48,164,117,False,1937,,,0,0.5769231
3498943075,False,129,49317728,~K yl e,Kyle,80,222,7,2,6,12,0.0670391061452514,2,,,,,15,10262,344,8472,1257,7410,284,30,2,1,2,23,0,0,1,1,0,0,0,0,3,9,59,6982,0,92,7,11,5,12,4,7,52.57964,0,0,0,0,29,1,244,0,36,True,1763,12,162,174,0.53846157
3498943075,False,130,172424257,Chessie,Chessie,80,282,92,8,2,9,0.2681564245810056,5,1,,,,21,19003,637,14499,2015,13170,486,159,20,0,8,150,1,0,14,14,1,0,0,0,1,5,2467,16022,0,3,0,0,0,0,0,4,8.729492,0,0,34,108,29,65,46,102,229,False,1873,4,60,64,0.65384614
3498943075,False,131,50828662,Spelunker,Zfreek,,189,66,2,6,10,0.0670391061452514,1,,,,,15,10203,342,11903,1482,10130,399,95,1,0,2,31,2,2,53,53,0,0,0,0,1,4,3957,5524,3455,7,13,0,0,1,1,8,22.327589,0,0,0,46,65,29,108,131,0,True,1743,10,184,194,0.46153846
3498943075,False,132,84429681,Moo,Moo,80,253,65,9,2,10,0.3016759776536313,6,1,,,,18,14767,495,11814,2602,10495,396,91,8,0,9,83,0,0,10,10,0,0,0,0,0,0,438,15174,0,84,8,1,1,0,0,8,31.535278,265,0,36,214,185,46,1,92,102,False,1898,5,34,39,0.7307692
3499021213,True,0,82327674,wwwwwwwww,Faith,,160,51,3,10,13,0.0547945205479452,1,,,,,20,17410,318,14016,1061,10720,256,135,7,0,3,93,0,0,34,34,1,0,0,0,1,3,0,22048,0,80,19,9,10,1,1,15,43.857525,0,42,0,214,46,102,92,187,131,False,3043,29,359,388,0.61538464
3499021213,True,1,149486894,烈烈风中丶,Sccc,80,198,45,8,6,7,0.1461187214611872,2,,,,,25,30386,555,25239,1686,18950,461,412,8,0,8,330,3,1,75,75,2,0,0,0,0,0,3327,37326,1799,145,8,1,1,0,0,6,0.0,0,0,0,48,102,190,116,108,232,False,3100,7,324,331,0.5769231
3499021213,True,2,117281554,1111,Moogy,,346,41,5,6,10,0.091324200913242,2,,,,,24,24911,455,22392,875,21860,409,295,13,0,5,150,2,33,146,146,1,0,0,0,2,4,651,13590,0,27,11,0,0,1,1,12,17.802008,0,0,0,1,63,147,46,158,123,False,3092,7,332,339,0.5769231
3499021213,True,3,139876032,最后的战役,kaka,80,243,110,6,6,15,0.1095890410958904,3,,,,,25,29619,541,25458,2418,20105,465,217,4,0,6,128,0,3,69,69,6,4,0,0,2,3,17,35216,3364,123,16,11,14,3,1,14,15.05127,0,0,0,119,0,123,116,0,214,False,3244,12,175,187,0.8076923
3499021213,True,4,87012746,kps,kpii,80,351,13,3,8,7,0.0547945205479452,1,,,,,23,23980,438,21188,1260,18665,387,333,13,0,3,300,0,0,38,38,0,0,0,0,1,3,216,19563,0,73,7,1,1,0,0,18,49.112793,0,0,0,100,119,123,1,46,50,False,2925,9,497,506,0.3846154
3499021213,False,128,12231202,lost,Limmp,80,379,43,9,4,15,0.1643835616438356,4,,,,,25,32959,602,28032,3245,22780,512,349,7,0,9,251,3,16,96,96,0,0,0,0,3,7,6385,25928,0,102,17,0,0,0,0,7,5.01709,0,0,0,100,50,190,235,119,116,False,3349,5,77,82,0.6666667
